input_path,output_filename,title,authors,doi
/Users/xinby/MinerU/1.pdf-aff79277-5cec-44bd-9d39-2e857a3b97ac,1.md,Feasibility of peak temperature targets in light of institutional constraints,"Christoph Bertram, Elina Brutschin, Laurent Drouet, Gunnar Luderer, Bas van Ruijven, Lara Aleluia Reis, Luiz Bernardo Baptista, Harmen-Sytze de Boer, Ryna Cui, Vassilis Daioglou, Florian Fosse, Dimitris Fragkiadakis, Oliver Fricko, Shinichiro Fujimori, Nate Hultman, Gokul Iyer, Kimon Keramidas, Volker Krey, Elmar Kriegler, Robin D. Lamboll, Rahul Mandaroux, Pedro Rochedo, Joeri Rogelj, Roberto Schaeffer, Diego Silva, Isabela Tagomori, Detlef van Vuuren, Zoi Vrontisi, Keywan Riahi",10.1038/s41558-024-02073-4
/Users/xinby/MinerU/2.pdf-80ed5ede-493b-4f08-bca4-297c81de62fd,2.md,Human-induced borealization leads to the collapse of Bering Sea snow crab,"Michael A. Litzow, Erin J. Fedewa, Michael J. Malick, Brendan M. Connors, Lisa Eisner, David G. Kimmel, Trond Kristiansen, Jens M. Nielsen, Emily R. Ryznar",10.1038/s41558-024-02093-0
/Users/xinby/MinerU/3.pdf-b6b52334-afb8-4545-a4f6-f42e23feb6d8,3.md,National policies to accelerate climate action in US healthcare,"Elizabeth Cerceo, Hardeep Singh",
/Users/xinby/MinerU/4.pdf-8208c67a-c54b-4dd1-8a8d-3b972a21ef48,4.md,Elevated urban energy risks due to climate-driven biophysical feedbacks,"Xinchang 'Cathy' Li, Lei Zhao, Yue Qin, Keith Oleson, Yiwen Zhang",10.1038/s41558-024-02108-w
/Users/xinby/MinerU/5.pdf-09692141-a69b-4487-b3d1-0ef20f37ae6a,5.md,Global patterns and drivers of tropical aboveground carbon changes,"Yu Feng, Philippe Ciais, Jean-Pierre Wigneron, Yidi Xu, Alan D. Ziegler, Dave van Wees, Arthur Nicolaus Fendrich, Dominick V. Spracklen, Stephen Sitch, Martin Brandt, Wei Li, Lei Fan, Xiaojun Li, Jie Wu, Zhenzhong Zeng",10.1038/s41558-024-02115-x
/Users/xinby/MinerU/6.pdf-ce707c01-8799-438a-aac3-348c4ed60229,6.md,Fisheries track the future redistribution of marine species,"Leonardo Cruz, Maria Pennino, Priscila Lopes",10.1038/s41558-024-02127-7
/Users/xinby/MinerU/7.pdf-e764ef6b-bd7e-4be4-bfcb-63c30b7ebfbd,7.md,Underestimation of personal carbon footprint inequality in four diverse countries,"Kristian S. Nielsen, Jan M. Bauer, Ramit Debnath, Charles A. Emogor, Sonja M. Geiger, Sakshi Ghai, Wencke Gwozdz, Ulf J. J. Hahnel",10.1038/s41558-024-02130-y
/Users/xinby/MinerU/8.pdf-4c5701a4-7eb1-4972-bac7-59c6e1fcc2e3,8.md,Global burned area increasingly explained by climate change,"Chantelle Burton, Seppe Lampe, Douglas I. Kelley, Wim Thiery, Stijn Hantson, Nikos Christidis, Lukas Gudmundsson, Matthew Forrest, Eleanor Burke, Jinfeng Chang, Huilin Huang, Akihiko Ito, Sian Kou-Giesbrecht, Gitta Lasslop, Wei Li, Lars Nieradzik, Fang Li, Yang Chen, James Randerson, Christopher P. O. Reyer, Matthias Mengel",10.1038/s41558-024-02140-w
/Users/xinby/MinerU/9.pdf-6bfe44a8-1289-477c-8855-25386e2f31d1,9.md,Relaxing fertility policies and delaying retirement age increase China's carbon emissions,"Ling Tang, Junai Yang, Jiali Zheng, Xinlu Sun, Lu Cheng, Kehan He, Ling Li, Jinkai Li, Wenjia Cai, Shouyang Wang, Paul Drummond, Zhifu Mi",10.1038/s41558-024-02162-4
/Users/xinby/MinerU/10.pdf-a8a2f639-9aea-4085-bac8-1702836f9d39,10.md,Using cost-benefit analyses to identify key opportunities in demand-side mitigation,"Jie-Sheng Tan-Soo, Ping Qin, Yifei Quan, Jun Li, Xiaomi Wang",10.1038/s41558-024-02146-4
/Users/xinby/MinerU/11.pdf-640af3df-5b24-4474-93e5-0c1580ef26cc,11.md,How demand-side mitigation can help shape effective climate policies,"Lei Zhu, Pengfei Liu",
/Users/xinby/MinerU/12.pdf-7afc086b-e22c-4c1a-9d67-edb3f84c64ce,12.md,Attributing human mortality from fire PM2.5 to climate change,"Chae Yeon Park, Kiyoshi Takahashi, Shinichiro Fujimori, Thanapat Jansakoo, Chantelle Burton, Huilin Huang, Sian Kou-Giesbrecht, Christopher P. O. Reyer, Matthias Mengel, Eleanor Burke, Fang Li, Stijn Hantson, Junya Takakura, Dong Kun Lee, Tomoko Hasegawa",10.1038/s41558-024-02149-1
/Users/xinby/MinerU/13.pdf-8ad3b9a3-66c6-4580-9a3b-b89ea334805b,13.md,Assessing the impacts of fertility and retirement policies on China's carbon emissions,"Ling Tang, Junai Yang, Jiali Zheng, Xinlu Sun, Lu Cheng, Kehan He, Ling Li, Jinkai Li, Wenjia Cai, Shouyang Wang, Paul Drummond, Zhifu Mi",10.1038/s41558-024-02162-4
/Users/xinby/MinerU/14.pdf-f651bc66-119b-4c8f-82f1-7ea3d009391d,14.md,Drought and aridity influence internal migration worldwide,"Roman Hoffmann, Guy Abel, Maurizio Malpede, Raya Muttarak, Marco Percoco",10.1038/s41558-024-02165-1
/Users/xinby/MinerU/15.pdf-1197f2be-f308-44f1-b245-1cabfd6707f9,15.md,Climate justice beliefs related to climate action and policy support around the world,"Charles A. Ogunbode, Rouven Doran, Arin H. Ayanian, Joonha Park, Akira Utsugi, Karlijn L. van den Broek, Jihane Ghorayeb, Sibele D. Aquino, Samuel Lins, John J. B. R. Aruta, Marc E. S. Reyes, Andreas Zick, Susan Clayton",10.1038/s41558-024-02168-y
/Users/xinby/MinerU/16.pdf-af517494-c2e6-4f23-93c6-aad5bf6232c1,16.md,Different technology packages for aluminium smelters worldwide to deliver the 1.5 °C target,"Chang Tan, Xiang Yu, Dan Li, Tianyang Lei, Qi Hao, Dabo Guan",10.1038/s41558-024-02193-x
/Users/xinby/MinerU/17.pdf-29fb6a5c-b9ad-47d8-98b6-1c8bc2afc864,17.md,'Tipping points'confuse and can distract from urgent climate action,"Robert E. Kopp, Elisabeth A. Gilmore, Rachael L. Shwom, Helen Adams, Carolina Adler, Michael Oppenheimer, Anand Patwardhan, Chris Russell, Daniela N. Schmidt, Richard York",
/Users/xinby/MinerU/18.pdf-90f23b6f-9535-438b-9ded-95b90fe30f61,18.md,Energy and socioeconomic system transformation through a decade of IPCC-assessed scenarios,"D. J. van de Ven, S. Mittal, A. Nikas, G. Xexakis, A. Gambhir, L. Hermwille, P. Fragkos, W. Obergassel, M. Gonzalez-Eguino, F. Filippidou, I. Sognnaes, L. Clarke, G. P. Peters",10.1038/s41558-024-02198-6
/Users/xinby/MinerU/19.pdf-606cced9-9efa-4920-a471-a0ea9c3ef90d,19.md,Representing gender inequality in scenarios improves understanding of climate challenges,"Marina Andrijevic, Caroline Zimm, Jonathan D. Moyer, Raya Muttarak, Shonali Pachauri",
/Users/xinby/MinerU/20.pdf-6d3f7132-3b63-4dc3-bf56-b6adca1e37dd,20.md,A year above 1.5 °C signals that Earth is most probably within the 20-year period that will reach the Paris Agreement limit,"Emanuele Bevacqua, Carl-Friedrich Schleussner, Jakob Zscheischler",10.1038/s41558-025-02246-9
/Users/xinby/MinerU/21.pdf-0ca50486-db3a-417c-85a3-b1f4514c63c4,21.md,Tracing inclusivity at UNFCCC conferences through side events and interest group dynamics,"Judy Jingwei Xie, Nora Alessandra Escher, Matilda E. Dunn, Yurong Yu, Iain Staffell, Joeri Rogelj",10.1038/s41558-025-02254-9
/Users/xinby/MinerU/22.pdf-52ecba98-a6cc-4698-8f59-28739fd7cd7b,22.md,Climate-driven connectivity loss impedes species adaptation to warming in the deep ocean,"Yuxuan Lin, Yuxin Chen, Xin Liu, Xing Lin, Edward A. Laws, Yuntao Zhou, Zhiyuan Xiang, Xinyi Zhang, Zhixue Chen, Yi Li, Yonglong Lu",10.1038/s41558-025-02256-7
/Users/xinby/MinerU/23.pdf-3b13e5fd-c0b3-42a3-9c20-1a20939dae0b,23.md,Heterogeneous pressure on croplands from land-based strategies to meet the 1.5 °C target,"Peichao Gao, Yifan Gao, Yang Ou, Haewon McJeon, Gokul Iyer, Sijing Ye, Xiaofan Yang, Changqing Song",10.1038/s41558-025-02294-1
