run_id,doc_id,qid,model,cache_hit,prompt_tokens,completion_tokens,total_tokens
20250920-132248,doc-20250920-132248,Q1,gpt-4o-mini,False,,,1475
20250920-132248,doc-20250920-132248,Q2,gpt-4o-mini,False,,,1474
20250920-132248,doc-20250920-132248,Q3,gpt-4o-mini,False,,,1444
20250920-132248,doc-20250920-132248,Q4,gpt-4o-mini,False,,,1551
20250920-132248,doc-20250920-132248,Q5,gpt-4o-mini,False,,,1422
20250920-132248,doc-20250920-132248,Q6,gpt-4o-mini,False,,,1540
20250920-132248,doc-20250920-132248,Q7,gpt-4o-mini,False,,,1481
20250920-132248,doc-20250920-132248,Q8,gpt-4o-mini,False,,,1765
20250920-132248,doc-20250920-132248,Q9,gpt-4o-mini,False,,,1450
20250920-132248,doc-20250920-132248,Q10,gpt-4o-mini,False,,,1544
20250920-132248,doc-20250920-132248,Q11,gpt-4o-mini,False,,,1782
20250920-132248,doc-20250920-132248,Q12,gpt-4o-mini,False,,,1631
